,Address Building,Address Street Name,Address City,Address State,Address ZIP,Address Borough,Latitude,Longitude
66,1053,OGDEN AVE,BRONX,NY,10452,Bronx,40.83463380903124,-73.92842606028766
67,2641,DECATUR AVE,BRONX,NY,10458,Bronx,40.863883873459066,-73.88977188744516
68,2959,MIDDLETOWN RD,BRONX,NY,10461,Bronx,40.843847070414064,-73.83053130442724
69,520,BROOK AVE,BRONX,NY,10455,Bronx,40.814470394521386,-73.9152145843081
70,2550,E TREMONT AVE,BRONX,NY,10461,Bronx,40.84295865938667,-73.84894073027313
71,5237,BROADWAY,BRONX,NY,10463,Bronx,40.87532395461267,-73.90885967507603
72,16,W FORDHAM RD,BRONX,NY,10468,Bronx,40.862761279328396,-73.90192109210858
73,3001,ALBANY CRES,BRONX,NY,10463,Bronx,40.876724479075286,-73.90302146721328
74,4028,E TREMONT AVE,BRONX,NY,10465,Bronx,40.81959692661463,-73.81757202187643
75,923,PROSPECT AVE,BRONX,NY,10459,Bronx,40.82175433623492,-73.9007711588972
76,237,E 203RD ST,BRONX,NY,10458,Bronx,40.873669890657986,-73.88534068185191
77,2019,VYSE AVE,BRONX,NY,10460,Bronx,40.84239046629715,-73.88183463274476
78,565,PROSPECT AVE,BRONX,NY,10455,Bronx,40.81280129117318,-73.90429592237335
79,744,MORRIS PARK AVE,BRONX,NY,10462,Bronx,40.84554160738625,-73.86455245973005
80,1410,BRONX RIVER AVE,BRONX,NY,10472,Bronx,40.83408531192828,-73.87951491782108
81,931,CASTLE HILL AVE,BRONX,NY,10473,Bronx,40.82628280449713,-73.84973376788841
82,113,DREISER LOOP,BRONX,NY,10475,Bronx,40.87753743809118,-73.82808412702458
83,5914,RIVERDALE AVE,BRONX,NY,10471,Bronx,40.90740533755352,-73.90394262484587
84,1869,MAYFLOWER AVE,BRONX,NY,10461,Bronx,40.84876254703234,-73.83410077454825
85,1665,BOSTON RD,BRONX,NY,10460,Bronx,40.83631035990461,-73.88956821660923
86,1901,STORY AVE,BRONX,NY,10473,Bronx,40.8241022509354,-73.859635200243
87,1553,WATSON AVE,BRONX,NY,10472,Bronx,40.826254684186225,-73.87696004168522
88,1033,CASTLE HILL AVE,BRONX,NY,10472,Bronx,40.82847375576781,-73.85024553910388
89,605B,E 187TH ST,BRONX,NY,10458,Bronx,40.85545255477683,-73.88734942883849
90,1264,RANDALL AVE,BRONX,NY,10474,Bronx,40.81197088878531,-73.8874447014441
91,4147,THROGGS NECK EXPY,BRONX,NY,10465,Bronx,40.819961459892895,-73.81044626280065
92,4309,KATONAH AVE,BRONX,NY,10470,Bronx,40.89884970872478,-73.86743890699343
93,2100,WILLIAMSBRIDGE RD,BRONX,NY,10461,Bronx,40.85566127718906,-73.85545122973087
94,459,BROOK AVE,BRONX,NY,10455,Bronx,40.81270355544895,-73.9162572526763
95,766,SOUTHERN BLVD,BRONX,NY,10455,Bronx,40.81536697201027,-73.89718242721426
96,3399,WHITE PLAINS RD,BRONX,NY,10467,Bronx,40.87508025706189,-73.86705238140587
97,49,W 181ST ST,BRONX,NY,10453,Bronx,40.856472264892204,-73.90747206724252
98,1596,WHITE PLAINS RD,BRONX,NY,10462,Bronx,40.840878117356986,-73.8643595654947
99,251,W 231ST ST,BRONX,NY,10463,Bronx,40.879903141926924,-73.90672706487744
100,728,COURTLANDT AVE,BRONX,NY,10451,Bronx,40.82076580015526,-73.91764533737823
101,408,E 138TH ST,BRONX,NY,10454,Bronx,40.80884045779531,-73.9222802900544
102,2750,BOSTON RD,BRONX,NY,10469,Bronx,40.86663577203078,-73.86087230824161
103,1610,EASTCHESTER RD,BRONX,NY,10461,Bronx,40.84474687171067,-73.84585366751499
104,1444,EAST AVE,BRONX,NY,10462,Bronx,40.83619087025405,-73.86036498816419
105,1,W 182ND ST,BRONX,NY,10453,Bronx,40.85711786135666,-73.90482500833433
106,235,E 167TH ST,BRONX,NY,10456,Bronx,40.8337054813946,-73.91535991621429
107,655,BURKE AVE,BRONX,NY,10467,Bronx,40.87148989213595,-73.86918924081932
108,627,E TREMONT AVE,BRONX,NY,10457,Bronx,40.846117280098106,-73.89254825409986
109,1614,WESTCHESTER AVE,BRONX,NY,10472,Bronx,40.82941161186437,-73.87487645868043
110,1041,PROSPECT AVE,BRONX,NY,10459,Bronx,40.82474225753227,-73.89952737044254
111,2179,WASHINGTON AVE,BRONX,NY,10457,Bronx,40.85350501250484,-73.89441961846626
112,760,E TREMONT AVE,BRONX,NY,10460,Bronx,40.844283062373904,-73.88885742582409
113,3333,E TREMONT AVE,BRONX,NY,10461,Bronx,40.834813606199255,-73.83011704869614
114,150,W FORDHAM RD,BRONX,NY,10468,Bronx,40.86281826126342,-73.90778138281885
115,160,E 170TH ST,BRONX,NY,10452,Bronx,40.83900491002485,-73.914532798436
116,206,W 231ST ST,BRONX,NY,10463,Bronx,40.87906467950701,-73.90509373366211
117,980,MORRIS AVE,BRONX,NY,10456,Bronx,40.828521780481715,-73.91682271831189
118,4188,BARNES AVE,BRONX,NY,10466,Bronx,40.89220588008883,-73.85463391801748
119,2356,GRAND CONCOURSE,BRONX,NY,10458,Bronx,40.8588915411833,-73.89907450833981
120,951,OGDEN AVE,BRONX,NY,10452,Bronx,40.83173914306436,-73.9300661322398
121,3215,3RD AVE,BRONX,NY,10451,Bronx,40.82353423699354,-73.90903177717594
122,1632,BRUCKNER BLVD,BRONX,NY,10473,Bronx,40.82401429485988,-73.87377374906293
123,1001,SHERIDAN AVE,BRONX,NY,10456,Bronx,40.82896299838914,-73.91973460225016
124,385,E 194TH ST,BRONX,NY,10458,Bronx,40.863343292732246,-73.8899029347211
